Year,County,Gender,Race,Offense_Category,Count
2020,Ventura,Male,Asian/other,Property,23.0
2020,Ventura,Male,Asian/other,PublicOrder,32.0
2020,Ventura,Male,Asian/other,Violent,37.0
2020,Ventura,Male,Black,Drug,21.0
2020,Ventura,Male,Black,Property,74.0
2020,Ventura,Male,Black,PublicOrder,80.0
2020,Ventura,Male,Black,Violent,112.0
2020,Ventura,Male,Latinx,Drug,336.0
2020,Ventura,Male,Latinx,Property,571.0
2020,Ventura,Male,Latinx,PublicOrder,1129.0
2020,Ventura,Male,Latinx,Violent,857.0
2020,Ventura,Male,White,Drug,205.0
2020,Ventura,Male,White,Property,278.0
2020,Ventura,Male,White,PublicOrder,444.0
2020,Ventura,Male,White,Violent,483.0
2020,Yolo,Female,Asian/other,Drug,3.0
2020,Yolo,Female,Asian/other,Property,2.0
2020,Yolo,Female,Asian/other,PublicOrder,3.0
2020,Yolo,Female,Asian/other,Violent,12.0
2020,Yolo,Female,Black,Drug,4.0
2020,Yolo,Female,Black,Property,7.0
2020,Yolo,Female,Black,PublicOrder,12.0
2020,Yolo,Female,Black,Violent,17.0
2020,Yolo,Female,Latinx,Drug,8.0
2020,Yolo,Female,Latinx,Property,19.0
2020,Yolo,Female,Latinx,PublicOrder,15.0
2020,Yolo,Female,Latinx,Violent,26.0
2020,Yolo,Female,White,Drug,13.0
2020,Yolo,Female,White,Property,24.0
2020,Yolo,Female,White,PublicOrder,31.0
2020,Yolo,Female,White,Violent,41.0
2020,Yolo,Male,Asian/other,Drug,5.0
2020,Yolo,Male,Asian/other,Property,19.0
2020,Yolo,Male,Asian/other,PublicOrder,20.0
2020,Yolo,Male,Asian/other,Violent,27.0
2020,Yolo,Male,Black,Drug,17.0
2020,Yolo,Male,Black,Property,45.0
2020,Yolo,Male,Black,PublicOrder,56.0
2020,Yolo,Male,Black,Violent,93.0
2020,Yolo,Male,Latinx,Drug,51.0
2020,Yolo,Male,Latinx,Property,80.0
2020,Yolo,Male,Latinx,PublicOrder,116.0
2020,Yolo,Male,Latinx,Violent,144.0
2020,Yolo,Male,White,Drug,54.0
2020,Yolo,Male,White,Property,156.0
2020,Yolo,Male,White,PublicOrder,119.0
2020,Yolo,Male,White,Violent,163.0
2020,Yuba,Female,Asian/other,Drug,1.0
2020,Yuba,Female,Asian/other,Property,3.0
2020,Yuba,Female,Asian/other,PublicOrder,1.0
2020,Yuba,Female,Asian/other,Violent,2.0
2020,Yuba,Female,Black,Drug,0.0
2020,Yuba,Female,Black,Property,0.0
2020,Yuba,Female,Black,PublicOrder,5.0
2020,Yuba,Female,Black,Violent,7.0
2020,Yuba,Female,Latinx,Drug,1.0
2020,Yuba,Female,Latinx,Property,3.0
2020,Yuba,Female,Latinx,PublicOrder,5.0
2020,Yuba,Female,Latinx,Violent,17.0
2020,Yuba,Female,White,Drug,16.0
2020,Yuba,Female,White,Property,20.0
2020,Yuba,Female,White,PublicOrder,13.0
2020,Yuba,Female,White,Violent,41.0
2020,Yuba,Male,Asian/other,Drug,5.0
2020,Yuba,Male,Asian/other,Property,4.0
2020,Yuba,Male,Asian/other,PublicOrder,11.0
2020,Yuba,Male,Asian/other,Violent,16.0
2020,Yuba,Male,Black,Drug,14.0
2020,Yuba,Male,Black,Property,4.0
2020,Yuba,Male,Black,PublicOrder,13.0
2020,Yuba,Male,Black,Violent,30.0
2020,Yuba,Male,Latinx,Drug,14.0
2020,Yuba,Male,Latinx,Property,24.0
2020,Yuba,Male,Latinx,PublicOrder,35.0
2020,Yuba,Male,Latinx,Violent,64.0
2020,Yuba,Male,White,Drug,53.0
2020,Yuba,Male,White,Property,64.0
2020,Yuba,Male,White,PublicOrder,66.0
2020,Yuba,Male,White,Violent,144.0
2021,Alameda,Female,Asian/other,Drug,5.0
2021,Alameda,Female,Asian/other,Property,52.0
2021,Alameda,Female,Asian/other,PublicOrder,22.0
2021,Alameda,Female,Asian/other,Violent,95.0
2021,Alameda,Female,Black,Drug,10.0
2021,Alameda,Female,Black,Property,229.0
2021,Alameda,Female,Black,PublicOrder,186.0
2021,Alameda,Female,Black,Violent,362.0
2021,Alameda,Female,Latinx,Drug,13.0
2021,Alameda,Female,Latinx,Property,112.0
2021,Alameda,Female,Latinx,PublicOrder,71.0
2021,Alameda,Female,Latinx,Violent,167.0
2021,Alameda,Female,White,Drug,26.0
2021,Alameda,Female,White,Property,172.0
2021,Alameda,Female,White,PublicOrder,102.0
2021,Alameda,Female,White,Violent,138.0
