County,Year,Gender,ADPtotrate,Felonyrate,Misdrate,Postdisprate,Predisprate,ADPtotal,Felony,Misd,Postdisp,Predisp,Population,Age
Los Angeles,2019,Male,416.68,0.0,0.0,154.17,262.51,14538.0,0.0,0.0,5379.0,9159.0,3488972,Adult
Madera,2019,Male,806.8,0.0,0.0,224.34,582.46,392.0,0.0,0.0,109.0,283.0,48587,Adult
Marin,2019,Male,259.49,0.0,0.0,56.87,202.62,219.0,0.0,0.0,48.0,171.0,84396,Adult
Mariposa,2019,Male,608.48,0.0,0.0,312.93,295.55,35.0,0.0,0.0,18.0,17.0,5752,Adult
Mendocino,2019,Male,843.91,0.0,0.0,289.44,554.47,242.0,0.0,0.0,83.0,159.0,28676,Adult
Merced,2019,Male,571.4,0.0,0.0,21.73,549.67,526.0,0.0,0.0,20.0,506.0,92055,Adult
Modoc,2019,Male,1114.49,0.0,0.0,270.18,844.31,33.0,0.0,0.0,8.0,25.0,2961,Adult
Mono,2019,Male,466.02,0.0,0.0,135.92,330.1,24.0,0.0,0.0,7.0,17.0,5150,Adult
Monterey,2019,Male,500.01,0.0,0.0,167.56,332.46,752.0,0.0,0.0,252.0,500.0,150396,Adult
Napa,2019,Male,426.32,0.0,0.0,178.16,248.15,201.0,0.0,0.0,84.0,117.0,47148,Adult
Nevada,2019,Male,491.05,0.0,0.0,76.03,415.02,155.0,0.0,0.0,24.0,131.0,31565,Adult
Orange,2019,Male,394.79,0.0,0.0,160.9,233.88,4252.0,0.0,0.0,1733.0,2519.0,1077038,Adult
Placer,2019,Male,435.21,0.0,0.0,120.16,315.04,565.0,0.0,0.0,156.0,409.0,129823,Adult
Plumas,2019,Male,796.12,0.0,0.0,294.22,501.9,46.0,0.0,0.0,17.0,29.0,5778,Adult
Riverside,2019,Male,423.36,0.0,0.0,115.11,308.25,3358.0,0.0,0.0,913.0,2445.0,793183,Adult
Sacramento,2019,Male,596.02,0.0,0.0,219.75,376.27,3073.0,0.0,0.0,1133.0,1940.0,515587,Adult
San Benito,2019,Male,468.91,0.0,0.0,154.74,314.17,100.0,0.0,0.0,33.0,67.0,21326,Adult
San Bernardino,2019,Male,659.88,0.0,0.0,165.0,494.87,4727.0,0.0,0.0,1182.0,3545.0,716344,Adult
San Diego,2019,Male,417.5,0.0,0.0,199.23,218.26,4717.0,0.0,0.0,2251.0,2466.0,1129822,Adult
San Francisco,2019,Male,314.68,0.0,0.0,47.1,267.59,1069.0,0.0,0.0,160.0,909.0,339705,Adult
San Joaquin,2019,Male,447.66,0.0,0.0,124.74,322.91,1134.0,0.0,0.0,316.0,818.0,253319,Adult
San Luis Obispo,2019,Male,430.98,0.0,0.0,171.98,259.0,421.0,0.0,0.0,168.0,253.0,97684,Adult
San Mateo,2019,Male,326.76,0.0,0.0,114.54,212.22,853.0,0.0,0.0,299.0,554.0,261044,Adult
Santa Barbara,2019,Male,476.1,0.0,0.0,171.55,304.55,741.0,0.0,0.0,267.0,474.0,155638,Adult
Santa Clara,2019,Male,425.13,0.0,0.0,82.67,342.46,2890.0,0.0,0.0,562.0,2328.0,679790,Adult
Santa Cruz,2019,Male,342.28,0.0,0.0,79.97,262.3,321.0,0.0,0.0,75.0,246.0,93784,Adult
Shasta,2019,Male,635.77,0.0,0.0,187.2,448.57,360.0,0.0,0.0,106.0,254.0,56624,Adult
Sierra,2019,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,983,Adult
Siskiyou,2019,Male,557.63,0.0,0.0,95.38,462.25,76.0,0.0,0.0,13.0,63.0,13629,Adult
Solano,2019,Male,427.05,0.0,0.0,86.22,340.82,629.0,0.0,0.0,127.0,502.0,147290,Adult
Sonoma,2019,Male,505.48,0.0,0.0,181.69,323.8,843.0,0.0,0.0,303.0,540.0,166771,Adult
Stanislaus,2019,Male,590.98,0.0,0.0,135.87,455.11,1070.0,0.0,0.0,246.0,824.0,181055,Adult
Sutter,2019,Male,637.15,0.0,0.0,224.35,412.8,213.0,0.0,0.0,75.0,138.0,33430,Adult
Tehama,2019,Male,661.03,0.0,0.0,306.21,354.82,136.0,0.0,0.0,63.0,73.0,20574,Adult
Trinity,2019,Male,1051.12,0.0,0.0,95.56,955.57,44.0,0.0,0.0,4.0,40.0,4186,Adult
Tulare,2019,Male,812.03,0.0,0.0,281.34,530.69,1218.0,0.0,0.0,422.0,796.0,149994,Adult
Tuolumne,2019,Male,599.68,0.0,0.0,158.1,441.59,110.0,0.0,0.0,29.0,81.0,18343,Adult
Ventura,2019,Male,456.17,0.0,0.0,173.88,282.29,1296.0,0.0,0.0,494.0,802.0,284106,Adult
Yolo,2019,Male,362.04,0.0,0.0,90.17,271.87,269.0,0.0,0.0,67.0,202.0,74301,Adult
Yuba,2019,Male,1339.02,0.0,0.0,189.6,1149.43,339.0,0.0,0.0,48.0,291.0,25317,Adult
Alameda,2020,Male,354.14,0.0,0.0,22.36,331.77,2027.0,0.0,0.0,128.0,1899.0,572380,Adult
Alpine,2020,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,378,Adult
Amador,2020,Male,475.38,0.0,0.0,241.24,234.14,67.0,0.0,0.0,34.0,33.0,14094,Adult
Butte,2020,Male,628.42,0.0,0.0,159.96,468.46,440.0,0.0,0.0,112.0,328.0,70017,Adult
Calaveras,2020,Male,508.68,0.0,0.0,130.8,377.88,70.0,0.0,0.0,18.0,52.0,13761,Adult
Colusa,2020,Male,471.24,0.0,0.0,207.9,263.34,34.0,0.0,0.0,15.0,19.0,7215,Adult
Contra Costa,2020,Male,184.22,0.0,0.0,26.21,158.02,703.0,0.0,0.0,100.0,603.0,381606,Adult
Del Norte,2020,Male,713.8,0.0,0.0,135.04,578.76,74.0,0.0,0.0,14.0,60.0,10367,Adult
El Dorado,2020,Male,456.71,0.0,0.0,166.36,290.35,291.0,0.0,0.0,106.0,185.0,63716,Adult
Fresno,2020,Male,700.75,0.0,0.0,29.93,670.82,2318.0,0.0,0.0,99.0,2219.0,330787,Adult
Glenn,2020,Male,623.77,0.0,0.0,135.15,488.62,60.0,0.0,0.0,13.0,47.0,9619,Adult
Humboldt,2020,Male,502.53,0.0,0.0,46.49,456.04,227.0,0.0,0.0,21.0,206.0,45171,Adult
Imperial,2020,Male,277.28,0.0,0.0,144.38,132.9,169.0,0.0,0.0,88.0,81.0,60949,Adult
Inyo,2020,Male,738.13,0.0,0.0,134.21,603.93,44.0,0.0,0.0,8.0,36.0,5961,Adult
Kern,2020,Male,535.1,0.0,0.0,19.79,515.31,1649.0,0.0,0.0,61.0,1588.0,308166,Adult
Kings,2020,Male,735.54,0.0,0.0,162.86,572.69,411.0,0.0,0.0,91.0,320.0,55877,Adult
Lake,2020,Male,852.06,0.0,0.0,194.33,657.73,171.0,0.0,0.0,39.0,132.0,20069,Adult
Lassen,2020,Male,550.41,0.0,0.0,238.99,311.41,76.0,0.0,0.0,33.0,43.0,13808,Adult
Los Angeles,2020,Male,387.77,0.0,0.0,146.08,241.69,13445.0,0.0,0.0,5065.0,8380.0,3467278,Adult
Madera,2020,Male,662.76,0.0,0.0,144.79,517.98,325.0,0.0,0.0,71.0,254.0,49037,Adult
Marin,2020,Male,196.67,0.0,0.0,25.18,171.48,164.0,0.0,0.0,21.0,143.0,83390,Adult
Mariposa,2020,Male,388.08,0.0,0.0,176.4,211.68,22.0,0.0,0.0,10.0,12.0,5669,Adult
Mendocino,2020,Male,738.85,0.0,0.0,241.55,497.3,208.0,0.0,0.0,68.0,140.0,28152,Adult
Merced,2020,Male,491.2,0.0,0.0,5.37,485.82,457.0,0.0,0.0,5.0,452.0,93038,Adult
Modoc,2020,Male,828.73,0.0,0.0,276.24,552.49,24.0,0.0,0.0,8.0,16.0,2896,Adult
Mono,2020,Male,376.16,0.0,0.0,158.38,217.78,19.0,0.0,0.0,8.0,11.0,5051,Adult
Monterey,2020,Male,502.2,0.0,0.0,168.74,333.46,750.0,0.0,0.0,252.0,498.0,149343,Adult
Napa,2020,Male,355.77,0.0,0.0,87.87,267.9,166.0,0.0,0.0,41.0,125.0,46659,Adult
Nevada,2020,Male,440.9,0.0,0.0,80.46,360.44,137.0,0.0,0.0,25.0,112.0,31073,Adult
Orange,2020,Male,300.45,0.0,0.0,92.53,207.92,3221.0,0.0,0.0,992.0,2229.0,1072047,Adult
Placer,2020,Male,435.62,0.0,0.0,96.29,339.33,570.0,0.0,0.0,126.0,444.0,130848,Adult
Plumas,2020,Male,519.43,0.0,0.0,214.94,304.5,29.0,0.0,0.0,12.0,17.0,5583,Adult
Riverside,2020,Male,414.55,0.0,0.0,102.82,311.72,3314.0,0.0,0.0,822.0,2492.0,799428,Adult
Sacramento,2020,Male,568.19,0.0,0.0,174.95,393.25,2949.0,0.0,0.0,908.0,2041.0,519014,Adult
San Benito,2020,Male,338.42,0.0,0.0,97.35,241.06,73.0,0.0,0.0,21.0,52.0,21571,Adult
San Bernardino,2020,Male,642.95,0.0,0.0,110.53,532.42,4613.0,0.0,0.0,793.0,3820.0,717476,Adult
San Diego,2020,Male,313.97,0.0,0.0,108.92,205.04,3531.0,0.0,0.0,1225.0,2306.0,1124645,Adult
San Francisco,2020,Male,205.27,0.0,0.0,30.81,174.47,693.0,0.0,0.0,104.0,589.0,337601,Adult
San Joaquin,2020,Male,473.75,0.0,0.0,80.07,393.69,1213.0,0.0,0.0,205.0,1008.0,256041,Adult
San Luis Obispo,2020,Male,348.41,0.0,0.0,100.58,247.83,336.0,0.0,0.0,97.0,239.0,96438,Adult
San Mateo,2020,Male,250.3,0.0,0.0,49.29,201.01,650.0,0.0,0.0,128.0,522.0,259693,Adult
Santa Barbara,2020,Male,376.44,0.0,0.0,106.08,270.36,582.0,0.0,0.0,164.0,418.0,154607,Adult
Santa Clara,2020,Male,295.31,0.0,0.0,47.8,247.51,2008.0,0.0,0.0,325.0,1683.0,679964,Adult
Santa Cruz,2020,Male,294.2,0.0,0.0,48.85,245.35,271.0,0.0,0.0,45.0,226.0,92113,Adult
Shasta,2020,Male,587.91,0.0,0.0,220.24,367.67,331.0,0.0,0.0,124.0,207.0,56301,Adult
Sierra,2020,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,968,Adult
