Year,County,Cost_per_prisoner,Imprisonments,Population
2017,Glenn,98731.13977823606,0.0,98.0
2017,Glenn,98731.13977823606,2.0,98.0
2017,Glenn,98731.13977823606,1.0,98.0
2017,Glenn,98731.13977823606,3.0,3807.0
2017,Glenn,98731.13977823606,6.0,3807.0
2017,Glenn,98731.13977823606,6.0,3807.0
2017,Glenn,98731.13977823606,24.0,3807.0
2017,Glenn,98731.13977823606,2.0,4902.0
2017,Glenn,98731.13977823606,5.0,4902.0
2017,Glenn,98731.13977823606,13.0,4902.0
2017,Glenn,98731.13977823606,21.0,4902.0
2017,Humboldt,98731.13977823606,0.0,5530.0
2017,Humboldt,98731.13977823606,0.0,5530.0
2017,Humboldt,98731.13977823606,1.0,5530.0
2017,Humboldt,98731.13977823606,5.0,5530.0
2017,Humboldt,98731.13977823606,0.0,424.0
2017,Humboldt,98731.13977823606,0.0,424.0
2017,Humboldt,98731.13977823606,0.0,424.0
2017,Humboldt,98731.13977823606,0.0,424.0
2017,Humboldt,98731.13977823606,0.0,4528.0
2017,Humboldt,98731.13977823606,0.0,4528.0
2017,Humboldt,98731.13977823606,0.0,4528.0
2017,Humboldt,98731.13977823606,0.0,4528.0
2017,Humboldt,98731.13977823606,0.0,34882.0
2017,Humboldt,98731.13977823606,2.0,34882.0
2017,Humboldt,98731.13977823606,2.0,34882.0
2017,Humboldt,98731.13977823606,10.0,34882.0
2017,Humboldt,98731.13977823606,2.0,5149.0
2017,Humboldt,98731.13977823606,7.0,5149.0
2017,Humboldt,98731.13977823606,10.0,5149.0
2017,Humboldt,98731.13977823606,68.0,5149.0
2017,Humboldt,98731.13977823606,2.0,719.0
2017,Humboldt,98731.13977823606,3.0,719.0
2017,Humboldt,98731.13977823606,3.0,719.0
2017,Humboldt,98731.13977823606,12.0,719.0
2017,Humboldt,98731.13977823606,5.0,4859.0
2017,Humboldt,98731.13977823606,1.0,4859.0
2017,Humboldt,98731.13977823606,5.0,4859.0
2017,Humboldt,98731.13977823606,29.0,4859.0
2017,Humboldt,98731.13977823606,18.0,36537.0
2017,Humboldt,98731.13977823606,36.0,36537.0
2017,Humboldt,98731.13977823606,28.0,36537.0
2017,Humboldt,98731.13977823606,178.0,36537.0
2017,Imperial,98731.13977823606,0.0,1666.0
2017,Imperial,98731.13977823606,0.0,1666.0
2017,Imperial,98731.13977823606,1.0,1666.0
2017,Imperial,98731.13977823606,1.0,1666.0
2017,Imperial,98731.13977823606,0.0,593.0
2017,Imperial,98731.13977823606,0.0,593.0
2017,Imperial,98731.13977823606,0.0,593.0
2017,Imperial,98731.13977823606,0.0,593.0
2017,Imperial,98731.13977823606,2.0,47988.0
2017,Imperial,98731.13977823606,2.0,47988.0
2017,Imperial,98731.13977823606,1.0,47988.0
2017,Imperial,98731.13977823606,8.0,47988.0
2017,Imperial,98731.13977823606,0.0,6480.0
2017,Imperial,98731.13977823606,0.0,6480.0
2017,Imperial,98731.13977823606,1.0,6480.0
2017,Imperial,98731.13977823606,5.0,6480.0
2017,Imperial,98731.13977823606,0.0,1746.0
2017,Imperial,98731.13977823606,1.0,1746.0
2017,Imperial,98731.13977823606,2.0,1746.0
2017,Imperial,98731.13977823606,11.0,1746.0
2017,Imperial,98731.13977823606,1.0,3460.0
2017,Imperial,98731.13977823606,3.0,3460.0
2017,Imperial,98731.13977823606,3.0,3460.0
2017,Imperial,98731.13977823606,31.0,3460.0
2017,Imperial,98731.13977823606,27.0,47379.0
2017,Imperial,98731.13977823606,26.0,47379.0
2017,Imperial,98731.13977823606,23.0,47379.0
2017,Imperial,98731.13977823606,199.0,47379.0
2017,Imperial,98731.13977823606,6.0,8462.0
2017,Imperial,98731.13977823606,12.0,8462.0
2017,Imperial,98731.13977823606,5.0,8462.0
2017,Imperial,98731.13977823606,32.0,8462.0
2017,Inyo,98731.13977823606,0.0,897.0
2017,Inyo,98731.13977823606,0.0,897.0
2017,Inyo,98731.13977823606,0.0,897.0
2017,Inyo,98731.13977823606,1.0,897.0
2017,Inyo,98731.13977823606,0.0,18.0
2017,Inyo,98731.13977823606,0.0,18.0
2017,Inyo,98731.13977823606,0.0,18.0
2017,Inyo,98731.13977823606,0.0,18.0
2017,Inyo,98731.13977823606,0.0,1151.0
2017,Inyo,98731.13977823606,0.0,1151.0
2017,Inyo,98731.13977823606,0.0,1151.0
2017,Inyo,98731.13977823606,0.0,1151.0
2017,Inyo,98731.13977823606,0.0,3832.0
2017,Inyo,98731.13977823606,1.0,3832.0
2017,Inyo,98731.13977823606,0.0,3832.0
2017,Inyo,98731.13977823606,1.0,3832.0
2017,Inyo,98731.13977823606,0.0,763.0
2017,Inyo,98731.13977823606,3.0,763.0
2017,Inyo,98731.13977823606,2.0,763.0
2017,Inyo,98731.13977823606,15.0,763.0
2017,Inyo,98731.13977823606,0.0,67.0
2017,Inyo,98731.13977823606,0.0,67.0
2017,Inyo,98731.13977823606,0.0,67.0
2017,Inyo,98731.13977823606,0.0,67.0
2017,Inyo,98731.13977823606,1.0,1252.0
2017,Inyo,98731.13977823606,0.0,1252.0
2017,Inyo,98731.13977823606,0.0,1252.0
2017,Inyo,98731.13977823606,4.0,1252.0
2017,Inyo,98731.13977823606,0.0,4037.0
2017,Inyo,98731.13977823606,0.0,4037.0
2017,Inyo,98731.13977823606,1.0,4037.0
2017,Inyo,98731.13977823606,11.0,4037.0
2017,Kern,98731.13977823606,0.0,20194.0
2017,Kern,98731.13977823606,0.0,20194.0
2017,Kern,98731.13977823606,0.0,20194.0
