Year,County,Gender,Race,Population_age_10-17,Poverty_rate_age_12-17
2017,Modoc,Female,Latinx,112,0.5106382978723404
2017,Modoc,Female,White,281,0.2574850299401197
2017,Modoc,Male,Asian/other,26,0.0
2017,Modoc,Male,Black,2,0.0
2017,Modoc,Male,Latinx,121,0.0
2017,Modoc,Male,White,321,0.168
2017,Mono,Female,Asian/other,35,0.0
2017,Mono,Female,Black,2,0.0
2017,Mono,Female,Latinx,321,0.2443181818181818
2017,Mono,Female,White,268,0.0405405405405405
2017,Mono,Male,Asian/other,34,0.0
2017,Mono,Male,Black,1,0.0
2017,Mono,Male,Latinx,317,0.4625
2017,Mono,Male,White,336,0.0
2017,Monterey,Female,Asian/other,1835,0.1420454545454545
2017,Monterey,Female,Black,375,0.1342592592592592
2017,Monterey,Female,Latinx,17903,0.2384715721629709
2017,Monterey,Female,White,4317,0.0846948982994331
2017,Monterey,Male,Asian/other,1970,0.0968586387434555
2017,Monterey,Male,Black,394,0.3576017130620985
2017,Monterey,Male,Latinx,19168,0.2208841239535908
2017,Monterey,Male,White,4631,0.060796645702306
2017,Napa,Female,Asian/other,781,0.5
2017,Napa,Female,Black,105,0.180722891566265
2017,Napa,Female,Latinx,3428,0.10778859527121
2017,Napa,Female,White,2651,0.0672690763052208
2017,Napa,Male,Asian/other,784,0.0624338624338624
2017,Napa,Male,Black,125,0.0
2017,Napa,Male,Latinx,3626,0.0894428152492668
2017,Napa,Male,White,2850,0.0694766095414543
2017,Nevada,Female,Asian/other,250,0.0
2017,Nevada,Female,Black,17,0.0
2017,Nevada,Female,Latinx,604,0.4037267080745341
2017,Nevada,Female,White,2950,0.1279207920792079
2017,Nevada,Male,Asian/other,274,0.0615384615384615
2017,Nevada,Male,Black,16,0.0
2017,Nevada,Male,Latinx,653,0.1589958158995816
2017,Nevada,Male,White,3113,0.1163498098859315
2017,Orange,Female,Asian/other,33178,0.2411769637019029
2017,Orange,Female,Black,2196,0.177020340846619
2017,Orange,Female,Latinx,76215,0.2354818578942676
2017,Orange,Female,White,51772,0.0737623383579462
2017,Orange,Male,Asian/other,35087,0.1361411104824227
2017,Orange,Male,Black,2322,0.1746611053180396
2017,Orange,Male,Latinx,80345,0.2298639139907847
2017,Orange,Male,White,55543,0.0706170585833353
2017,Placer,Female,Asian/other,2494,0.2180451127819548
2017,Placer,Female,Black,232,0.0508474576271186
2017,Placer,Female,Latinx,3743,0.1513181654026724
2017,Placer,Female,White,12323,0.0684340985019937
2017,Placer,Male,Asian/other,2497,0.0765209125475285
2017,Placer,Male,Black,222,0.2167300380228136
2017,Placer,Male,Latinx,3858,0.1145038167938931
2017,Placer,Male,White,13606,0.0637282961266933
2017,Plumas,Female,Asian/other,65,0.0
2017,Plumas,Female,Black,12,0.0
2017,Plumas,Female,Latinx,113,0.0
2017,Plumas,Female,White,546,0.1293800539083558
2017,Plumas,Male,Asian/other,96,0.0
2017,Plumas,Male,Black,6,0.0
2017,Plumas,Male,Latinx,123,0.3333333333333333
2017,Plumas,Male,White,518,0.1328320802005012
2017,Riverside,Female,Asian/other,12149,0.2041922659920491
2017,Riverside,Female,Black,7800,0.2493548387096774
2017,Riverside,Female,Latinx,82467,0.2456632014028056
2017,Riverside,Female,White,35100,0.0953467332730205
2017,Riverside,Male,Asian/other,12700,0.1173961424332344
2017,Riverside,Male,Black,8493,0.3153347732181425
2017,Riverside,Male,Latinx,85395,0.2371341292353729
2017,Riverside,Male,White,37106,0.1009094022297477
2017,Sacramento,Female,Asian/other,18266,0.3217956786238725
2017,Sacramento,Female,Black,8614,0.294086681874013
2017,Sacramento,Female,Latinx,24869,0.2220914593140551
2017,Sacramento,Female,White,28044,0.1209677419354838
2017,Sacramento,Male,Asian/other,19518,0.2000223738673229
2017,Sacramento,Male,Black,8971,0.3546617915904936
2017,Sacramento,Male,Latinx,26077,0.2812670970565707
2017,Sacramento,Male,White,29628,0.144367686451431
2017,San Benito,Female,Asian/other,145,0.0
2017,San Benito,Female,Black,19,0.0
2017,San Benito,Female,Latinx,2375,0.1309450277949351
2017,San Benito,Female,White,856,0.0979591836734693
2017,San Benito,Male,Asian/other,181,0.0272108843537414
2017,San Benito,Male,Black,22,0.0
2017,San Benito,Male,Latinx,2373,0.1405930470347648
2017,San Benito,Male,White,920,0.0363036303630363
2017,San Bernard,Female,Asian/other,10545,0.3425505571605448
2017,San Bernard,Female,Black,10767,0.3606340819022457
2017,San Bernard,Female,Latinx,79359,0.2724253057609103
2017,San Bernard,Female,White,27399,0.1424643046007403
2017,San Bernard,Male,Asian/other,11521,0.1567726520860136
2017,San Bernard,Male,Black,11420,0.3568985176738882
2017,San Bernard,Male,Latinx,84467,0.2725270454103776
2017,San Bernard,Male,White,29766,0.1358229182352055
2017,San Diego,Female,Asian/other,26313,0.150062656641604
2017,San Diego,Female,Black,7959,0.2321490169023801
2017,San Diego,Female,Latinx,74469,0.2241962460509199
2017,San Diego,Female,White,57006,0.0935658480654881
2017,San Diego,Male,Asian/other,28293,0.0876240563236915
2017,San Diego,Male,Black,8891,0.2674075360305609
2017,San Diego,Male,Latinx,79442,0.2309212611638357
2017,San Diego,Male,White,61869,0.0987836251467392
2017,San Francis,Female,Asian/other,9772,0.2036286019210245
2017,San Francis,Female,Black,1738,0.4369885433715221
2017,San Francis,Female,Latinx,5236,0.1862857142857142
2017,San Francis,Female,White,6943,0.0296202531645569
2017,San Francis,Male,Asian/other,10228,0.1420943576665604
2017,San Francis,Male,Black,1586,0.3926530612244898
2017,San Francis,Male,Latinx,5577,0.1435748281332628
2017,San Francis,Male,White,6844,0.0496374790853318
2017,San Joaquin,Female,Asian/other,8646,0.3959651898734177
2017,San Joaquin,Female,Black,3413,0.3307216494845361
2017,San Joaquin,Female,Latinx,22631,0.2415816170628857
2017,San Joaquin,Female,White,10419,0.1158483530142946
2017,San Joaquin,Male,Asian/other,9178,0.208433357687089
2017,San Joaquin,Male,Black,3571,0.3218238158477202
2017,San Joaquin,Male,Latinx,24265,0.2487600573129064
2017,San Joaquin,Male,White,11255,0.1332437877770315
2017,San Luis Ob,Female,Asian/other,881,0.1701631701631701
2017,San Luis Ob,Female,Black,106,0.2325581395348837
2017,San Luis Ob,Female,Latinx,4244,0.1586303284416492
2017,San Luis Ob,Female,White,6914,0.1114260793720017
2017,San Luis Ob,Male,Asian/other,951,0.1188925081433224
2017,San Luis Ob,Male,Black,136,0.2201834862385321
2017,San Luis Ob,Male,Latinx,4513,0.2122164048865619
2017,San Luis Ob,Male,White,7558,0.0758426966292134
2017,San Mateo,Female,Asian/other,10457,0.2458543619322278
2017,San Mateo,Female,Black,718,0.2898832684824903
2017,San Mateo,Female,Latinx,12055,0.1953955825639827
2017,San Mateo,Female,White,11607,0.0443169332193871
2017,San Mateo,Male,Asian/other,11079,0.0806138797537735
2017,San Mateo,Male,Black,758,0.3097165991902834
2017,San Mateo,Male,Latinx,12553,0.1444951300702749
2017,San Mateo,Male,White,12322,0.0271794293447614
2017,Santa Barba,Female,Asian/other,1654,0.0744786494538232
2017,Santa Barba,Female,Black,282,0.3277591973244147
2017,Santa Barba,Female,Latinx,13480,0.220430656189407
2017,Santa Barba,Female,White,6982,0.1099934397550841
2017,Santa Barba,Male,Asian/other,1597,0.1905511811023622
2017,Santa Barba,Male,Black,315,0.2065217391304347
2017,Santa Barba,Male,Latinx,14146,0.220428500249128
2017,Santa Barba,Male,White,7364,0.0547588005215123
2017,Santa Clara,Female,Asian/other,36345,0.2437656780286262
2017,Santa Clara,Female,Black,1951,0.2087729039422543
2017,Santa Clara,Female,Latinx,35582,0.1748170326014637
2017,Santa Clara,Female,White,23735,0.0474099566842698
2017,Santa Clara,Male,Asian/other,38451,0.0745836027559142
2017,Santa Clara,Male,Black,2035,0.1409352978859705
2017,Santa Clara,Male,Latinx,37302,0.1581931875558317
2017,Santa Clara,Male,White,25168,0.0303686366296079
2017,Santa Cruz,Female,Asian/other,1046,0.0134003350083752
2017,Santa Cruz,Female,Black,94,0.2743362831858407
2017,Santa Cruz,Female,Latinx,6573,0.2318410232983097
2017,Santa Cruz,Female,White,5574,0.0871632329635499
