Year,County,Gender,Race,Offense_Category,Count,Age
2017,Amador,Female,White,Violent,1.0,Juvenile
2017,Butte,Female,White,Violent,6.0,Juvenile
2017,Calaveras,Female,White,Violent,2.0,Juvenile
2017,Colusa,Female,White,Violent,0.0,Juvenile
2017,Contra Cost,Female,White,Violent,6.0,Juvenile
2017,Del Norte,Female,White,Violent,1.0,Juvenile
2017,El Dorado,Female,White,Violent,6.0,Juvenile
2017,Fresno,Female,White,Violent,2.0,Juvenile
2017,Glenn,Female,White,Violent,2.0,Juvenile
2017,Humboldt,Female,White,Violent,4.0,Juvenile
2017,Imperial,Female,White,Violent,0.0,Juvenile
2017,Inyo,Female,White,Violent,0.0,Juvenile
2017,Kern,Female,White,Violent,5.0,Juvenile
2017,Kings,Female,White,Violent,6.0,Juvenile
2017,Lake,Female,White,Violent,1.0,Juvenile
2017,Lassen,Female,White,Violent,0.0,Juvenile
2017,Los Angeles,Female,White,Violent,20.0,Juvenile
2017,Madera,Female,White,Violent,0.0,Juvenile
2017,Marin,Female,White,Violent,3.0,Juvenile
2017,Mariposa,Female,White,Violent,0.0,Juvenile
2017,Mendocino,Female,White,Violent,2.0,Juvenile
2017,Merced,Female,White,Violent,3.0,Juvenile
2017,Modoc,Female,White,Violent,0.0,Juvenile
2017,Mono,Female,White,Violent,0.0,Juvenile
2017,Monterey,Female,White,Violent,3.0,Juvenile
2017,Napa,Female,White,Violent,1.0,Juvenile
2017,Nevada,Female,White,Violent,3.0,Juvenile
2017,Orange,Female,White,Violent,10.0,Juvenile
2017,Placer,Female,White,Violent,2.0,Juvenile
2017,Plumas,Female,White,Violent,0.0,Juvenile
2017,Riverside,Female,White,Violent,2.0,Juvenile
2017,Sacramento,Female,White,Violent,12.0,Juvenile
2017,San Benito,Female,White,Violent,0.0,Juvenile
2017,San Bernard,Female,White,Violent,22.0,Juvenile
2017,San Diego,Female,White,Violent,42.0,Juvenile
2017,San Francis,Female,White,Violent,0.0,Juvenile
2017,San Joaquin,Female,White,Violent,10.0,Juvenile
2017,San Luis Ob,Female,White,Violent,3.0,Juvenile
